title,IMDBid,year,summary,maturity,type,new to uNoGS,runtime,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
Headspace Guide to Meditation,tt13617024,2021,"Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice.",Recommended for all audiences,series,2021/1/1,,Science & Nature Docs,Special Interest,Docuseries,Science & Nature TV,US TV Shows,Lifestyle,,,,,,,,,,,,,,,,
Journey of an African Colony,,2021,This docuseries delves into the untold stories and unsung heroes that paved Nigeria's road to independence. Based on the books by host Olasupo Shasore.,Recommended for ages 13 and up,series,2020/9/30,,,,,,,,,,,,,,,,,,,,,,,
The Forest,tt6560040,2021,"When a teen girl disappears from a village near the Ardennes Forest, local police and a concerned teacher begin to uncover a web of unsettling secrets.",Recommended for ages 16 and up,series,2018/6/29,,,,,,,,,,,,,,,,,,,,,,,
Mutt,tt22777288,2023,"A trans man confronts his past after bumping into his ex-boyfriend, sister and dad for the first time since transitioning — all within the span of a day.",For Mature Audiences.,movie,2023/11/16,1h27m39s,LGBTQ Dramas,Drama Films,LGBTQ Films,Independent Films,,,,,,,,,,,,,,,,,,
In Love and Deep Water,tt21211474,2023,"Romance, mystery and mayhem unfolds aboard a luxury liner heading for the Aegean Sea, when a butler and a passenger try to solve a baffling murder.","injury detail, violence, mature themes",movie,2023/11/16,2h7m11s,Romantic Comedies,Crime Films,Comedy Films,Romantic Films,Mystery Films,Japanese,,,,,,,,,,,,,,,,
Best. Christmas. Ever!,tt7038762,2023,"After a twist of fate brings their families together for Christmas, Charlotte sets out to prove her old friend Jackie's life is too good to be true.","Mild sexual references, violence",movie,2023/11/16,1h21m39s,Children & Family Films,Comedy Films,Family Features,,,,,,,,,,,,,,,,,,,
Third World Romance,tt24785860,2023,"In the face of uncertain times, two hard-up grocery workers start a relationship that could keep their dreams alive — or drag both of them down.",Recommended for ages 13 and up,movie,2023/11/16,1h52m50s,Drama Movies,Romantic Movies,Filipino,,,,,,,,,,,,,,,,,,,
First Wives Club,tt7546362,2022,"Best friends lift each other up as they navigate rocky relationships, demanding careers and new beginnings. Based on the hit 1996 comedy.",For Mature Audiences.,series,2023/11/15,,Comedy Programmes,TV Programmes Based on Books,TV Shows Based on Real Life,,,,,,,,,,,,,,,,,,,
Matt Rife: Natural Selection,tt29650142,2023,"From his problem with protection crystals to his beef with social media trolls, comedian Matt Rife holds nothing back in this rollicking stand-up special.",Strong crude humour,movie,2023/11/15,1h4m24s,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,,
Feedback,tt13652420,2023,A former rock star whose alcohol addiction left him with a faulty memory and a family in shambles embarks on a frantic journey to find his missing son.,"Strong Suicide Themes, Strong Coarse Language",series,2023/11/15,,Drama Programmes,Crime Programmes,TV Thrillers,TV Programmes Based on Books,Polish,,,,,,,,,,,,,,,,,
Crashing Eid,,2023,"When Razan's British Pakistani fiance crashes her Saudi family's Eid celebrations, she attempts to convince them that he is a suitable match.","Mild themes, coarse language, violence",series,2023/11/15,,Comedy Programmes,Drama Programmes,Middle Eastern TV Programmes,Saudi,,,,,,,,,,,,,,,,,,
The Netflix Cup,tt29537436,2023,Formula 1 drivers and PGA Tour golfers team up for a star-studded sports competition at the Wynn Las Vegas golf course. Live event in English.,Recommended for ages 16 and up,movie,2023/11/15,2h30m,,,,,,,,,,,,,,,,,,,,,,
Suburr?terna,,2023,"While chaos rules over Rome, established alliances are at risk as tensions rise with emerging criminal clans. The world of ""Suburra"" takes a new turn.","Strong sex scenes, drug use, violence",series,2023/11/14,,,,,,,,,,,,,,,,,,,,,,,
How to Become a Mob Boss,tt29541632,2023,This darkly satirical how-to guide explores the rise and fall of history's most notorious mob bosses and their tactics for success.,"coarse language, injury detail, nudity, drug use, violence, mature themes",series,2023/11/14,,,,,,,,,,,,,,,,,,,,,,,
Criminal Code,tt22459586,2023,"To crack the code of an investigation into a larger-than-life robbery, federal agents need to get creative.","Strong sex scenes, injury detail, action violence",series,2023/11/14,,Action & Adventure Programmes,Drama Programmes,Crime Programmes,Brazilian,,,,,,,,,,,,,,,,,,
Persona: Sulli,tt28145732,2023,"Features a special episode of the ""Persona"" anthology series starring Sulli, and an in-depth interview she gave in 2019.",Recommended for ages 13 and up,series,2023/11/13,,,,,,,,,,,,,,,,,,,,,,,
Fame After Fame,tt29475857,2023,"After 14 successful years on Spanish TV, the biggest personalities of ""Sálvame"" look for new job opportunities across America in this reality series.",Recommended for ages 16 and up,series,2023/11/11,,,,,,,,,,,,,,,,,,,,,,,
Team Ninja Warrior,tt5559366,2023,"Three-player squads of elite athletes compete side by side on punishing obstacle courses designed to test their strength, stamina and team spirit.",Parental Guidance suggested,series,2023/11/10,,,,,,,,,,,,,,,,,,,,,,,
The Killer,tt0097202,2017,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.",,movie,2017/11/10,1h39m34s,,,,,,,,,,,,,,,,,,,,,,
Itxaso and the Sea,,2023,"After her mother unexpectedly passes, 17-year-old Itxaso is thrust into a new life in a small surfing town where she knows no one —?not even her father.","coarse language, sex scenes, injury detail, drug use, violence, mature themes",series,2023/11/10,,Teen Programmes,Drama Programmes,Spanish,,,,,,,,,,,,,,,,,,,
Forever,tt3487382,2023,The once unbreakable bond between teen football enthusiasts Mila and Kia begins to strain when a demanding former pro bursts in as their new coach.,Strong coarse language,movie,2023/11/10,1h43m2s,Teen Films,Sports Films,Drama Films,Swedish,,,,,,,,,,,,,,,,,,
At the Moment,tt28951022,2023,This anthology series set during the pandemic follows 10 unique love stories of passion and heartache.,Strong coarse language,series,2023/11/10,,Drama Programmes,Romantic TV Dramas,Chinese Programmes,Taiwanese,,,,,,,,,,,,,,,,,,
Resident Evil: Death Island,tt26674627,2023,Bizarre clues and a new T-Virus strain lead Agent Chris Redfield and a team of familiar faces to Alcatraz Island to confront a mysterious threat.,bloody violence and language,movie,2023/11/9,1h30m43s,Action & Adventure Films,Anime Action,Anime Feature Films,Horror Films,Anime Horror Films,Zombie Horror Films,Adult Animation,Anime based on a Video Game,Japanese,,,,,,,,,,,,,
Akuma Kun,tt16270188,2023,"Akuma Kun, a boy raised by a demon, works with his half-human partner Mephisto III as paranormal investigators to solve various murder and mysteries.",Recommended for ages 16 and up,series,2023/11/9,,Anime Series,Anime Horror Films,Crime Programmes,Horror Programmes,Sci-Fi & Fantasy Anime,Anime Based on Comics,Mystery & Thriller Anime,Japanese,,,,,,,,,,,,,,
Pedro,tt1281383,2022,"A young filmmaker captures the playful, everyday side of Mexican artist Pedro Friedeberg and his reflections on art — and befriends him in the process.",Not recommended for children under 12 years old,movie,2023/11/9,1h15m8s,Biographical Documentaries,Documentaries,Lifestyle,Mexican,,,,,,,,,,,,,,,,,,
Untameable,tt27759133,2023,"In 1980s Spain, TV and movie star Bárbara Rey and circus personality ángel Cristo fell for each other. This is the tale of their tumultuous relationship.","Strong sexual violence, sex scenes, family violence, drug use, sexualised imagery",series,2023/11/9,,Drama Programmes,TV Shows Based on Real Life,Spanish,,,,,,,,,,,,,,,,,,,
Temple of Film: 100 Years of the Egyptian Theatre,tt29552211,2023,"Guillermo del Toro, Rian Johnson and other film luminaries look back at LA's historic Egyptian Theatre as it returns to its former movie palace glory.","Mild Violence, Themes",movie,2023/11/9,11m4s,Historical Documentaries,Social & Cultural Docs,Documentaries,,,,,,,,,,,,,,,,,,,
Wizzo School,,2023,"While grappling with her own self-image, a cheeky troublemaker goes head-to-head with a teacher trying to rip off eager students for selfish gains.",Recommended for ages 13 and up,movie,2023/11/9,1h28m13s,Middle Eastern Movies,Comedy Movies,Egyptian,,,,,,,,,,,,,,,,,,,
ISHIKO and HANEO: You're Suing Me?,,2022,"A paralegal who graduated from a big-name school teams up with an offbeat lawyer, taking on oddball little cases out of a small, neighborhood law office.",Recommended for ages 13 and up,series,2023/11/9,,TV Dramas,Courtroom TV Shows,Japanese,,,,,,,,,,,,,,,,,,,
Buried: The 1982 Alpine Meadows Avalanche,tt13033424,2022,"This gripping documentary revisits a massive, deadly avalanche at a Lake Tahoe ski resort and the frantic search-and-rescue operation that followed.",For Mature Audiences.,movie,2023/11/8,1h36m18s,,,,,,,,,,,,,,,,,,,,,,
"The Billionaire, The Butler, and the Boyfriend",,2023,How did a conflict between the world's wealthiest woman and her daughter spiral into national scandal? This riveting docuseries tells the whole story.,Mature Themes,series,2023/11/8,,Biographical Documentaries,Political Documentaries,Political TV Programmes,Crime Programmes,French,Docuseries,,,,,,,,,,,,,,,,
Robbie Williams,tt28210840,2023,"After 25 years of his record-breaking solo career, Robbie looks back on his younger self and reflects on a lifetime spent in the spotlight.","Strong Coarse Language, Drug Use",series,2023/11/8,,Music,Biographical Documentaries,Docuseries,British,,,,,,,,,,,,,,,,,,
Escaping Twin Flames,tt29388212,2023,"A couple built a spiritual business to help people find true love. Now, former followers are sharing their disturbing practices in this docuseries.","Coarse Language, Mature Themes, Sexual References",series,2023/11/8,,US TV Programmes,Docuseries,,,,,,,,,,,,,,,,,,,,
Cyberbunker: The Criminal Underworld,tt29472617,2023,This documentary reveals how a group of hackers powered the darkest corners of the internet from a Cold War-era bunker in a quiet German tourist town.,"Coarse Language, Drug Use",movie,2023/11/8,1h41m55s,Historical Documentaries,Crime Films,True Crime Documentaries,Documentaries,German,,,,,,,,,,,,,,,,,
Face Off,tt1663641,2015,"After unearthing diamonds in the wilderness, a man is hunted by a murderous gang and must outrun them with the help of a newfound friend.",Recommended for ages 13 and up,movie,2023/8/28,1h34m59s,,,,,,,,,,,,,,,,,,,,,,
The Improv: 60 and Still Standing,,2023,Ten top comics hit the stage to celebrate the 60th anniversary of The Improv comedy club in this special featuring archival footage of iconic performers.,Strong Sexual References,movie,2023/11/7,1h20m56s,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,,
Nganu,tt27761490,2023,"Villagers advise an abusive husband to channel his rage in the army. There, he must come to terms with violent urges that have deep and painful roots.","Strong Blood and Gore, Violence, Sexual Violence",movie,2023/11/7,1h41m27s,African Films,Drama Films,,,,,,,,,,,,,,,,,,,,
Squaring the Circle (The Story of Hipgnosis),tt10850264,2022,"Packed with rock stars, this documentary tells the vibrant story of the design duo behind some of the 20th century's most iconic album covers.",For Mature Audiences.,movie,2023/11/6,1h41m11s,Music,Documentaries,Lifestyle,British,Social & Cultural Docs,,,,,,,,,,,,,,,,,
Irugapatru,tt16103606,2023,Three couples in turbulent marriages embark on an emotional journey to find love with each other again — or fall apart forever.,Recommended for ages 13 and up,movie,2023/11/6,2h32m36s,Drama Movies,Romantic Movies,Tamil-Language Movies,Indian,,,,,,,,,,,,,,,,,,
Lopez vs. Lopez,tt14852960,2022,George Lopez and daughter Mayan navigate the ups and downs of living together after years of being estranged in this sitcom based on their real lives.,Parents strongly cautioned. May not be suitable for ages under 14.,series,2023/11/4,,,,,,,,,,,,,,,,,,,,,,,
Summer Vacation,tt2599786,2023,"When two friends lose their jobs and find gigs as children's entertainers at a luxury hotel, they sneak in their kids to give them a summer vacation.",Recommended for ages 13 and up,movie,2023/11/4,1h40m20s,,,,,,,,,,,,,,,,,,,,,,
BLUE EYE SAMURAI,tt13309742,2023,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",Recommended for ages 18 and up,series,2023/11/3,,,,,,,,,,,,,,,,,,,,,,,
Daily Dose of Sunshine,tt26258202,2023,"A kind-hearted nurse working in psychiatry goes above and beyond to be a ray of light for those under her care, despite the challenges coming her way.",Not recommended for children under 16,series,2023/11/3,,Korean TV Programmes Based on Webtoon,Drama Programmes,Korean,,,,,,,,,,,,,,,,,,,
Sly,tt9034180,2023,"His love of film began as an escape from a rocky childhood. From underdog to Hollywood legend, Sylvester Stallone tells his story in this documentary.","Coarse Language, Mature Themes",movie,2023/11/3,1h36m22s,Biographical Documentaries,Documentaries,,,,,,,,,,,,,,,,,,,,
NYAD,tt5302918,2023,Athlete Diana Nyad sets out at 60 to achieve a nearly impossible lifelong dream: to swim from Cuba to Florida across more than 100 miles of open ocean.,"Mature themes, coarse language and references to child sexual abuse",movie,2023/11/3,2h1m8s,Films Based on Real Life,Sports Films,Drama Films,LGBTQ Films,Films Based on Books,,,,,,,,,,,,,,,,,
Ferry: The Series,tt28466970,2023,"Desperate for funds, Ferry Bouman stumbles upon a golden opportunity when a high-profile bust leaves a vacant position among Brabant's top dealers.",Strong Violence,series,2023/11/3,,Drama Programmes,Crime Programmes,TV Thrillers,Belgian,,,,,,,,,,,,,,,,,,
Erin & Aaron,tt12941258,2023,"Erin and Aaron's names may sound similar, but they couldn't be more opposite — and through music these new stepsiblings are learning to live in harmony.","Very Mild Violence, Crude Humour",series,2023/11/3,,Music,Sitcoms,Comedy Programmes,Kids' TV,,,,,,,,,,,,,,,,,,
Riding a Unicorn,tt21200646,2022,"Determined to revive her startup's dwindling success, an innovative young CEO hires a middle-aged, traditional businessman to join her hardworking team.",Recommended for ages 13 and up,series,2023/11/3,,TV Dramas,Japanese,,,,,,,,,,,,,,,,,,,,
Mad,tt1718438,2023,"Youthful hijinks, romance and lifelong friendships are all part of the curriculum as Manoj, Ahsok and Damodar — aka the MAD squad — cope with college.",Recommended for ages 13 and up,movie,2023/11/3,2h4m14s,Romantic Comedy Movies,Romantic Movies,Comedy Movies,Telugu-Language Movies,Indian,,,,,,,,,,,,,,,,,
Onimusha,tt22301234,2023,"With a demonic, soul-consuming weapon in hand, can a legendary swordsman and a samurai brotherhood defeat a bloodthirsty zombie uprising?",Recommended for ages 16 and up,series,2023/11/2,,Anime Action,Anime Series,Anime based on a Video Game,Japanese,,,,,,,,,,,,,,,,,,
Unicorn Academy,tt27423738,2023,"When a dark force threatens to destroy Unicorn Island, a brave teen and her five schoolmates must rise up to protect their beloved magical academy.","Mild Violence, Themes, Fantasy Themes, Scary Scenes",series,2023/11/2,,,,,,,,,,,,,,,,,,,,,,,
Higuita: The Way of the Scorpion,,2023,"From humble origins to soccer legend, this documentary captures the rise of Colombia’s René Higuita, from iconic career to personal controversies.",Coarse Language,movie,2023/11/2,1h40m27s,,,,,,,,,,,,,,,,,,,,,,
Cigarette Girl,tt1352361,2023,A gifted artisan's journey of love and self-discovery unfolds as she defies tradition within Indonesia's clove cigarette industry in the 1960s.,"Mature Themes, Violence",series,2023/11/2,,,,,,,,,,,,,,,,,,,,,,,
All the Light We Cannot See,tt15320362,2023,"In the final days of WWII, the paths of a blind French girl and a German soldier collide. Based on Anthony Doerr's Pulitzer Prize-winning bestseller.","Strong War Themes, Violence",series,2023/11/2,,Drama Programmes,US TV Programmes,TV Programmes Based on Books,,,,,,,,,,,,,,,,,,,
Jawan: Telugu Extended Cut,,2023,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice — and that lead him to an unexpected reunion.,Recommended for ages 16 and up,movie,2023/11/2,2h50m39s,,,,,,,,,,,,,,,,,,,,,,
Jawan: Extended Cut,,2023,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice — and that lead him to an unexpected reunion.,Recommended for ages 16 and up,movie,2023/11/2,2h50m38s,Action & Adventure Movies,Social Issue Dramas,Bollywood Movies,Drama Movies,Hindi-Language Movies,Indian,,,,,,,,,,,,,,,,
Love in the Wild,tt1945796,2023,"Looking for love, 20 singles head into the jungle to face wilderness challenges. But the caves, rapids and snakes may be less treacherous than the dates!",Parents strongly cautioned. May not be suitable for ages under 14.,series,2023/11/1,,Reality TV,Competition Reality TV,Wedding & Romance Reality TV,,,,,,,,,,,,,,,,,,,
Till Murder Do Us Part: Soering vs. Haysom,tt28466971,2023,Did Jens Soering murder his girlfriend's parents in 1985 — or was she the killer? This docuseries digs into questions that still swirl around the case.,Strong Blood and Gore,series,2023/11/1,,Courtroom TV Programmes,True Crime Documentaries,Crime Programmes,German,Docuseries,,,,,,,,,,,,,,,,,
Wingwomen,tt21638298,2023,"Tired of life on the run, a pro thief decides to retire — but not before one easy last job with her partner in crime and a feisty new getaway driver.",Strong Violence,movie,2023/11/1,1h55m57s,Action & Adventure Films,Drama Films,Comedy Films,French,,,,,,,,,,,,,,,,,,
Nuovo Olimpo,tt18394610,2023,"In 1970s Rome, a casual encounter between Enea and Pietro at a movie theater turns into an unforgettable romance — until destiny pulls them apart.","Strong Sex Scenes, Sexualised Imagery",movie,2023/11/1,1h52m36s,Drama Films,LGBTQ Films,Romantic Films,Italian,,,,,,,,,,,,,,,,,,
Mysteries of the Faith,,2023,"Believed to hold miraculous powers, sacred treasures are kept under lock and key. Uncover the history — and mystery — behind these Catholic relics.","Mild Violence, Themes",series,2023/11/1,,Historical Documentaries,Docuseries,,,,,,,,,,,,,,,,,,,,
Locked In,tt6439792,2023,"A kindly nurse tries to unlock the secrets of a coma patient's injuries — and discovers the bitter rivalry, infidelity, betrayal and murder behind them.",Strong Violence,movie,2023/11/1,1h36m58s,Thrillers,British,,,,,,,,,,,,,,,,,,,,
Hurricane Season,tt1172998,2023,"When a group of teens finds a corpse floating in a canal, the brutal reality behind the perverse crime unravels a town's hidden secrets.","Strong Sex Scenes, Sexualised Imagery",movie,2023/11/1,1h39m,Social Issue Dramas,Drama Films,LGBTQ Films,Independent Films,Thrillers,Films Based on Books,Mexican,,,,,,,,,,,,,,,
Strawberry Shortcake’s Perfect Holiday,,2023,"With holiday chores piling up and a cookie-stealing villain on the loose, Strawberry and her Berry Buddies must work together to save Winter Swirl.",Recommended for ages 7 and up,movie,2023/11/1,45m17s,Kids & Family Movies,Canadian,Kids Movies,,,,,,,,,,,,,,,,,,,
The Origin: Madam Koi-Koi,tt27483643,2023,"A vengeful spirit stalks an isolated college, drawn by the school's grim history of sexual violence and one student's mysterious ties to the past.","Strong Violence, Horror Themes, Sexual Violence",series,2023/10/31,,Drama Programmes,Horror Programmes,Nollywood,,,,,,,,,,,,,,,,,,,
Ralph Barbosa: Cowabunga,,2023,"Comedian Ralph Barbosa riffs on everything from his street-racing dream woman to his mom’s lies about moon rocks in this chill, cheeky stand-up special.","Coarse Language, Crude Humour",movie,2023/10/31,1h4m18s,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,,
Lucas the Spider,tt9054228,2023,"Meet Lucas, a playful and curious jumping spider, who loves to have fun and explore with his friends — even if it gets him in a little trouble.",Designed to be appropriate for all children,series,2023/10/30,,TV Cartoons,Kids' TV,,,,,,,,,,,,,,,,,,,,
Botched,tt0790590,2023,"When plastic surgery goes awry, the results can be disastrous. But Dr. Paul Nassif and Dr. Terry Dubrow step in to fix the patients' botched procedures.",Parental Guidance suggested,series,2023/10/29,,,,,,,,,,,,,,,,,,,,,,,
Castaway Diva,tt28348835,2023,"Fifteen years after being stranded on a remote island, an aspiring singer reenters society — stopping at nothing to pursue her dream of becoming a diva.",Recommended for ages 16 and up,series,2023/10/29,,,,,,,,,,,,,,,,,,,,,,,
Tore,tt24132876,2023,"An immature and aimless 27-year-old throws himself into an unknown world of sex, drugs and self-discovery after his closest companion's death.","Strong Coarse Language, Self-Harm, Sex Scenes, Sexual Violence, Drug Use",series,2023/10/27,,Drama Programmes,Scandinavian TV,Swedish,,,,,,,,,,,,,,,,,,,
Yellow Door: '90s Lo-fi Film Club,tt15410316,2023,"This intimate documentary explores a bygone era of cinematic passion and the emergence of young film enthusiasts in South Korea, including Bong Joon Ho.",Coarse Language,movie,2023/10/27,1h24m38s,Documentaries,Korean,Social & Cultural Docs,,,,,,,,,,,,,,,,,,,
Sister Death,tt19175696,2023,"After a miraculous childhood, Narcisa becomes a novice and starts teaching girls in a former convent haunted by a disturbing presence.","Strong Blood and Gore, Violence, Horror Themes, Self-Harm, Suicide, Sexual Violence",movie,2023/10/27,1h30m36s,Horror Films,Spanish,,,,,,,,,,,,,,,,,,,,
Pain Hustlers,tt15257160,2023,"A broke but ambitious single mom lands a lucrative opportunity in pharma sales, but how far will she go to turn a potent new painkiller into a success?",Strong coarse language,movie,2023/10/27,2h4m49s,Films Based on Real Life,Social Issue Dramas,Drama Films,Films Based on Books,,,,,,,,,,,,,,,,,,
Why Do You Love Me,tt27950276,2023,"Against their parents' wishes, three young men with physical disabilities embark on a road trip to pursue their first sexual experiences.",Recommended for ages 16 and up,movie,2023/10/27,1h23m29s,Drama Movies,Comedy Movies,Indonesian,,,,,,,,,,,,,,,,,,,
Magenta Coal,,2023,"Secrets and lies come to light when Matilda, the wife of a mining magnate, becomes embroiled in a bitter tussle over fortune and family succession.",Recommended for ages 13 and up,series,2023/10/27,,TV Dramas,South African,,,,,,,,,,,,,,,,,,,,
Knights of the Zodiac,tt6528290,2023,A street fighter discovers a world of mystical powers and ancient warriors as he trains to become the chosen guardian of a reincarnated goddess.,action/violence,movie,2023/10/26,1h52m27s,Action & Adventure Films,Japanese,,,,,,,,,,,,,,,,,,,,
It Ain't Over,,2022,The colorful life and career of quotable baseball great Yogi Berra shines brightly in this documentary featuring insider interviews and archival footage.,"smoking, some drug references, language and brief war images",movie,2023/10/26,1h39m10s,Biographical Documentaries,Sports Films,Sports & Fitness,Baseball Films,Documentaries,,,,,,,,,,,,,,,,,
PLUTO,tt2741624,2023,"When the world’s seven most advanced robots and their human allies are murdered one by one, Inspector Gesicht soon discovers that he's also in danger.","Mature Themes, Science Fiction Themes, Violence, Nudity",series,2023/10/26,,,,,,,,,,,,,,,,,,,,,,,
ONEFOUR: Against All Odds,tt28703558,2023,"This documentary traces the meteoric rise of Australia's first drill rap stars, defiant in the face of police's efforts to stop them from performing.",Strong Coarse Language,movie,2023/10/26,1h22m40s,Music,Rap & Hip-Hop,Documentaries,Australian,Social & Cultural Docs,,,,,,,,,,,,,,,,,
Chandramukhi 2 (Telugu),,2023,"While honoring their ancestors, a family awakens the spirit of Chandramukhi. Can they save their possessed daughter with the help of a fearless friend?",Suitable for ages 12 and up,movie,2023/10/26,2h35m53s,Action & Adventure Films,Comedy Films,Horror Films,Indian,,,,,,,,,,,,,,,,,,
Iraivan (Telugu),,2023,A police officer with a tendency to take justice into his own hands embarks on an intense hunt for a brutal serial killer.,Not suitable for ages under 18,movie,2023/10/26,2h14m18s,Crime Films,Thrillers,Tamil-language Films,Indian,,,,,,,,,,,,,,,,,,
Chandramukhi 2,tt12132908,2023,"While honoring their ancestors, a family awakens the spirit of Chandramukhi. Can they save their possessed daughter with the help of a fearless friend?",For Mature Audiences.,movie,2023/10/26,2h35m57s,Action & Adventure Films,Comedy Films,Horror Films,Tamil-language Films,Indian,,,,,,,,,,,,,,,,,
Iraivan (Hindi),,2023,A police officer with a tendency to take justice into his own hands embarks on an intense hunt for a brutal serial killer.,Recommended for ages 16 and up,movie,2023/10/26,2h14m9s,Crime Movies,Thriller Movies,Indian,Tamil-Language Movies,,,,,,,,,,,,,,,,,,
The Outcasts,tt2597760,2023,A young man returns home hoping to sell his late father's soccer club and cash in — only to find he must first overhaul the comically abysmal operation.,Recommended for ages 13 and up,movie,2023/10/26,1h39m42s,Sports Movies,Comedy Movies,Middle Eastern Movies,Egyptian,,,,,,,,,,,,,,,,,,
The Cheating Game,tt28262037,2023,"After her cheating boyfriend's sex tape goes viral, a content creator starts over with the seemingly perfect guy — who may be hiding secrets of his own.",Recommended for ages 13 and up,movie,2023/10/26,1h45m2s,Drama Movies,Romantic Movies,Filipino,,,,,,,,,,,,,,,,,,,
Long Live Love!,tt28298504,2023,A struggling couple gets an unlikely reprieve when one partner who has amnesia uses photographs to rekindle his memory — and possibly more.,Recommended for ages 16 and up,movie,2023/10/26,2h15m2s,Romantic Comedy Movies,Drama Movies,Comedy Movies,Romantic Movies,Thai,,,,,,,,,,,,,,,,,
Iraivan,tt26316907,2023,A police officer with a tendency to take justice into his own hands embarks on an intense hunt for a brutal serial killer.,Recommended for ages 16 and up,movie,2023/10/26,2h14m9s,Crime Movies,Thriller Movies,Tamil-Language Movies,Indian,,,,,,,,,,,,,,,,,,
Chandramukhi 2 (Hindi),,2023,"While honoring their ancestors, a family awakens the spirit of Chandramukhi. Can they save their possessed daughter with the help of a fearless friend?",Recommended for ages 16 and up,movie,2023/10/26,2h35m12s,Action & Adventure Movies,Comedy Movies,Horror Movies,Indian,,,,,,,,,,,,,,,,,,
The After,tt3145422,2023,"After witnessing a violent crime, a shattered rideshare driver picks up a passenger who forces him to confront his grief.","Coarse Language, Mature Themes, Violence",movie,2023/10/25,18m47s,Drama Films,British,,,,,,,,,,,,,,,,,,,,
Life on Our Planet,tt23181388,2023,"Life's extraordinary journey to conquer, adapt and survive on Earth across billions of years comes alive in this groundbreaking nature docuseries.","Predatory Animal Behaviour, Mild Themes",series,2023/10/25,,Science & Nature Documentaries,Nature & Ecology Documentaries,Science & Nature TV,US TV Programmes,Family Watch Together TV,Docuseries,,,,,,,,,,,,,,,,
Burning Betrayal,,2023,"In this adaptation of Sue Hecker's novel, an accountant sees her fiance's betrayal as an opportunity for a sexual awakening, with dangerous consequences.",Strong Sex Scenes,movie,2023/10/25,1h38m45s,Drama Films,Thrillers,Films Based on Books,Brazilian,,,,,,,,,,,,,,,,,,
Absolute Beginners,tt0090585,2023,Two childhood best friends enjoying their final seaside summer as they prepare for film school meet an aspiring athlete who ignites unfamiliar desires.,"Strong Sex Scenes, Sexualised Imagery",series,2023/10/25,,Drama Programmes,Romantic TV Dramas,Teen Programmes,Polish,,,,,,,,,,,,,,,,,,
Bad Education: Directors Cut,,2023,"In honor of their final night in high school, three teenagers decide to play a devious game that quickly descends into deadly chaos.",Recommended for ages 16 and up,movie,2023/10/25,1h23m1s,Chinese Movies,Drama Movies,Crime Movies,Thriller Movies,Taiwanese,,,,,,,,,,,,,,,,,
The Family Business,tt7146326,2022,"As the patriarch of a thriving family empire prepares to pass the torch, secrets soon jeopardize the business. Based on Carl Weber's bestselling novels.",For Mature Audiences.,series,2023/10/24,,Drama Programmes,Crime Programmes,TV Programmes Based on Books,,,,,,,,,,,,,,,,,,,
Pete Holmes: I Am Not for Everyone,,2023,"Comedian Pete Holmes delivers a feel-good stand-up set on his awkward post-prostate exam hug, a devilish Midwest meeting and his mom's voicemail glitches.","Coarse Language, Crude Humour, Sexual References",movie,2023/10/24,1h5m35s,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,,
Get Gotti,,2023,"Told from both sides of the law, this docuseries from the makers of ""Fear City"" follows the FBI's battle to bring down infamous mob boss John Gotti.",Strong Coarse Language,series,2023/10/24,,,,,,,,,,,,,,,,,,,,,,,
Vjeran Tomic: The Spider-Man of Paris,,2023,"In his own words, the burglar behind the 2010 robbery of the Paris Museum of Modern Art tells how he pulled off the biggest art heist in French history.","Coarse Language, Nudity",movie,2023/10/20,1h26m11s,,,,,,,,,,,,,,,,,,,,,,
Surviving Paradise,tt0216250,2023,"In this reality competition, players must form alliances and fight to move from the wilderness into a luxurious villa for a shot at a huge cash prize.",Coarse Language,series,2023/10/20,,,,,,,,,,,,,,,,,,,,,,,
Old Dads,tt18394190,2023,A cranky middle-aged dad and his two best friends find themselves out of step in a changing world of millennial CEOs and powerful preschool principals.,"Strong Coarse Language, Crude Humour",movie,2023/10/20,1h44m6s,Comedy Films,Independent Films,,,,,,,,,,,,,,,,,,,,
Kandasamys: The Baby,tt27048691,2023,The in-laws head to Mauritius for the birth of their grandchild and stir up comic trouble in this fourth installment of the Kandasamy franchise.,"Mild Coarse Language, Crude Humour",movie,2023/10/20,1h33m27s,African Films,Drama Films,Comedy Films,South African,,,,,,,,,,,,,,,,,,
Flashback,tt8372094,2023,"A yoga teacher’s life flashes before her eyes during a deadly home invasion, sending her on a desperate race through her past to save the man she loves.","Coarse Language, Mature Themes, Violence, Horror Themes",movie,2023/10/20,16m6s,Horror Films,,,,,,,,,,,,,,,,,,,,,
